time, Quad.Est.E.Pos, Quad.Est.S.Z
1.500014,0.095742,0.327549
1.505014,0.126689,0.326408
1.510015,0.126791,0.326526
1.515015,0.126933,0.326704
1.520015,0.127063,0.326824
1.525015,0.127132,0.327003
1.530015,0.127136,0.327124
1.535016,0.127206,0.327305
1.540016,0.127249,0.327426
1.545016,0.127335,0.327609
1.550016,0.127392,0.327732
1.555017,0.127462,0.327917
1.560017,0.127423,0.328040
1.565017,0.127440,0.328227
1.570017,0.127536,0.328352
1.575018,0.127549,0.328540
1.580018,0.127471,0.328666
1.585018,0.127418,0.328855
1.590018,0.127341,0.328983
1.595019,0.127262,0.329174
1.600019,0.127340,0.329302
1.605019,0.162650,0.328163
1.610019,0.162990,0.328280
1.615019,0.163547,0.328458
1.620020,0.163910,0.328577
1.625020,0.164439,0.328756
1.630020,0.164795,0.328876
1.635020,0.165333,0.329057
1.640021,0.165699,0.329178
1.645021,0.166221,0.329360
1.650021,0.166551,0.329482
1.655021,0.167011,0.329666
1.660022,0.167223,0.329789
1.665022,0.167569,0.329975
1.670022,0.167803,0.330100
1.675022,0.168152,0.330287
1.680022,0.168483,0.330412
1.685023,0.168888,0.330601
1.690023,0.169114,0.330728
1.695023,0.169520,0.330919
1.700023,0.169827,0.331047
1.705024,0.152860,0.329908
1.710024,0.153124,0.330026
1.715024,0.153556,0.330202
1.720024,0.153855,0.330321
1.725025,0.154280,0.330500
1.730025,0.154580,0.330619
1.735025,0.154954,0.330799
1.740025,0.155206,0.330920
1.745026,0.155581,0.331102
1.750026,0.155809,0.331223
1.755026,0.156132,0.331407
1.760026,0.156333,0.331529
1.765026,0.156671,0.331714
1.770027,0.156908,0.331838
1.775027,0.157219,0.332025
1.780027,0.157443,0.332150
1.785027,0.157747,0.332338
1.790028,0.158043,0.332464
1.795028,0.158358,0.332654
1.800028,0.158479,0.332782
1.805028,0.161693,0.331645
1.810029,0.161841,0.331762
1.815029,0.162229,0.331938
1.820029,0.162444,0.332056
1.825029,0.162758,0.332234
1.830029,0.162906,0.332353
1.835030,0.163119,0.332533
1.840030,0.163258,0.332653
1.845030,0.163426,0.332834
1.850030,0.163504,0.332955
1.855031,0.163639,0.333138
1.860031,0.163754,0.333260
1.865031,0.163884,0.333445
1.870031,0.163928,0.333568
1.875032,0.164009,0.333754
1.880032,0.163938,0.333878
1.885032,0.163943,0.334066
1.890032,0.163830,0.334192
1.895033,0.163843,0.334381
1.900033,0.163804,0.334507
1.905033,0.153347,0.333373
1.910033,0.153092,0.333489
1.915033,0.152957,0.333665
1.920034,0.152859,0.333783
1.925034,0.152688,0.333960
1.930034,0.152549,0.334079
1.935034,0.152326,0.334258
1.940035,0.152178,0.334377
1.945035,0.151965,0.334558
1.950035,0.151822,0.334678
1.955035,0.151568,0.334860
1.960036,0.151366,0.334982
1.965036,0.151083,0.335166
1.970036,0.150849,0.335289
1.975036,0.150506,0.335474
1.980036,0.150108,0.335598
1.985037,0.149695,0.335785
1.990037,0.149580,0.335910
1.995037,0.149149,0.336098
2.000037,0.148668,0.336224
2.005037,0.167672,0.335092
2.010037,0.167503,0.335208
2.015036,0.167089,0.335383
2.020036,0.166775,0.335501
2.025036,0.166311,0.335677
2.030035,0.165986,0.335795
2.035035,0.165468,0.335974
2.040035,0.165119,0.336093
2.045034,0.164580,0.336272
2.050034,0.164226,0.336393
2.055033,0.163672,0.336574
2.060033,0.163276,0.336695
2.065033,0.162689,0.336878
2.070032,0.162358,0.337001
2.075032,0.161785,0.337185
2.080032,0.161471,0.337308
2.085031,0.160924,0.337494
2.090031,0.160509,0.337619
2.095031,0.159968,0.337807
2.100030,0.159687,0.337932
2.105030,0.159015,0.336803
2.110029,0.158926,0.336919
2.115029,0.158828,0.337093
2.120029,0.158818,0.337210
2.125028,0.158729,0.337386
2.130028,0.158678,0.337504
2.135028,0.158558,0.337681
2.140027,0.158463,0.337800
2.145027,0.158342,0.337979
2.150027,0.158261,0.338098
2.155026,0.158140,0.338279
2.160026,0.158069,0.338400
2.165025,0.157954,0.338582
2.170025,0.158017,0.338704
2.175025,0.157953,0.338887
2.180024,0.157783,0.339010
